Name,Efficiency,Efficiency Detail,Project,Owner,Cluster
vm163,-,-,_internal,admin,cluster3
vm164,-,-,_internal,admin,cluster3
vm165,-,-,_internal,admin,cluster3
vm166,"Overprovisioned,Constrained","Constrained: Max hourly average memory usage (96.73%) was above the maximum threshold (95%) for 5% of the time in the lookback period., Overprovisioned: Max hourly average CPU usage (17.71%) was below the minimum threshold (20%) for 99.5% of the time in the lookback period.",_internal,admin,cluster3
vm167,-,-,_internal,admin,cluster3
vm168,Overprovisioned,Overprovisioned: Max hourly average CPU usage (1.79%) was below the minimum threshold (20%) for 99.5% of the time in the lookback period.,_internal,admin,cluster2
vm169,-,-,_internal,admin,cluster1
vm170,-,-,_internal,admin,cluster2
vm171,-,-,_internal,admin,cluster2
vm172,-,-,_internal,admin,cluster1
vm173,Overprovisioned,Overprovisioned: Max hourly average CPU usage (1.62%) was below the minimum threshold (20%) for 99.5% of the time in the lookback period.,_internal,admin,cluster3
vm174,-,-,_internal,admin,cluster3
vm175,Overprovisioned,Overprovisioned: Max hourly average CPU usage (1.91%) was below the minimum threshold (20%) for 99.5% of the time in the lookback period.,_internal,admin,cluster2
vm176,-,-,_internal,admin,cluster2
vm177,-,-,_internal,admin,cluster3
vm178,-,-,_internal,admin,cluster3
vm179,Overprovisioned,Overprovisioned: Max hourly average memory usage (44.45%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster2
vm180,-,-,_internal,admin,cluster2
vm181,Overprovisioned,Overprovisioned: Max hourly average CPU usage (2.42%) was below the minimum threshold (20%) and max hourly average memory usage (35.48%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster2
vm182,-,-,_internal,admin,cluster3
vm183,-,-,_internal,admin,cluster3
vm184,-,-,_internal,admin,cluster3
vm185,Overprovisioned,Overprovisioned: Max hourly average memory usage (23.93%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster3
vm186,Overprovisioned,Overprovisioned: Max hourly average memory usage (23.6%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster3
vm187,-,-,_internal,admin,cluster3
vm188,-,-,_internal,admin,cluster3
vm189,-,-,_internal,admin,cluster1
vm190,-,-,_internal,admin,cluster1
vm191,-,-,_internal,admin,cluster1
vm192,Overprovisioned,Overprovisioned: Max hourly average CPU usage (2.98%) was below the minimum threshold (20%) and max hourly average memory usage (9.29%) was below the minimum threshold (20%) for 99.5% of the time in the lookback period.,_internal,admin,cluster1
vm193,-,-,_internal,admin,cluster2
vm194,-,-,_internal,admin,cluster2
vm195,-,-,_internal,admin,cluster2
vm196,-,-,_internal,admin,cluster2
vm197,-,-,_internal,admin,cluster2
vm198,-,-,_internal,admin,cluster2
vm199,-,-,_internal,admin,cluster2
vm200,-,-,_internal,admin,cluster2
vm201,-,-,_internal,admin,cluster2
vm202,-,-,_internal,admin,cluster2
vm203,-,-,_internal,admin,cluster2
vm204,Overprovisioned,Overprovisioned: Max hourly average CPU usage (2.17%) was below the minimum threshold (20%) and max hourly average memory usage (40.17%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster2
vm205,-,-,_internal,admin,cluster2
vm206,-,-,_internal,admin,cluster2
vm207,-,-,_internal,admin,cluster2
vm208,-,-,_internal,admin,cluster2
vm209,-,-,_internal,admin,cluster2
vm210,Overprovisioned,Overprovisioned: Max hourly average CPU usage (1.16%) was below the minimum threshold (20%) and max hourly average memory usage (43.0%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster2
vm211,-,-,_internal,admin,cluster2
vm212,-,-,_internal,admin,cluster2
vm213,Overprovisioned,Overprovisioned: Max hourly average CPU usage (0.78%) was below the minimum threshold (20%) and max hourly average memory usage (30.75%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster2
vm214,Overprovisioned,Overprovisioned: Max hourly average CPU usage (1.2%) was below the minimum threshold (20%) and max hourly average memory usage (28.65%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster2
vm215,-,-,_internal,admin,cluster2
vm216,-,-,_internal,admin,cluster2
vm217,-,-,_internal,admin,cluster2
vm218,-,-,_internal,admin,cluster2
vm219,-,-,_internal,admin,cluster2
vm220,-,-,_internal,admin,cluster2
vm221,-,-,_internal,admin,cluster2
vm222,Overprovisioned,Overprovisioned: Max hourly average CPU usage (2.03%) was below the minimum threshold (20%) and max hourly average memory usage (45.01%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster2
vm223,-,-,_internal,admin,cluster2
vm224,Overprovisioned,Overprovisioned: Max hourly average CPU usage (2.58%) was below the minimum threshold (20%) and max hourly average memory usage (48.08%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster2
vm225,Overprovisioned,Overprovisioned: Max hourly average CPU usage (1.43%) was below the minimum threshold (20%) and max hourly average memory usage (39.09%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster2
vm226,-,-,_internal,admin,cluster2
vm227,-,-,_internal,admin,cluster2
vm228,-,-,_internal,admin,cluster2
vm229,Overprovisioned,Overprovisioned: Max hourly average CPU usage (1.02%) was below the minimum threshold (20%) and max hourly average memory usage (31.89%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster2
vm230,Overprovisioned,Overprovisioned: Max hourly average CPU usage (1.84%) was below the minimum threshold (20%) and max hourly average memory usage (32.09%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster2
vm231,Overprovisioned,Overprovisioned: Max hourly average CPU usage (3.71%) was below the minimum threshold (20%) and max hourly average memory usage (35.18%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster3
vm232,-,-,_internal,admin,cluster3
vm233,Overprovisioned,Overprovisioned: Max hourly average CPU usage (6.31%) was below the minimum threshold (20%) and max hourly average memory usage (28.6%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster3
vm234,-,-,_internal,admin,cluster3
vm235,Overprovisioned,Overprovisioned: Max hourly average CPU usage (6.03%) was below the minimum threshold (20%) and max hourly average memory usage (33.32%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster3
vm236,-,-,_internal,admin,cluster3
vm237,-,-,_internal,admin,cluster3
vm238,-,-,_internal,admin,cluster3
vm239,-,-,_internal,admin,cluster3
vm240,Overprovisioned,Overprovisioned: Max hourly average CPU usage (3.03%) was below the minimum threshold (20%) for 99.5% of the time in the lookback period.,_internal,admin,cluster3
vm241,-,-,_internal,admin,cluster3
vm242,-,-,_internal,admin,cluster3
vm243,-,-,_internal,admin,cluster3
vm244,-,-,_internal,admin,cluster3
vm245,-,-,_internal,admin,cluster3
vm246,-,-,_internal,admin,cluster3
vm247,-,-,_internal,admin,cluster3
vm248,-,-,_internal,admin,cluster3
vm249,-,-,_internal,admin,cluster3
vm250,-,-,_internal,admin,cluster3
vm251,Overprovisioned,Overprovisioned: Max hourly average CPU usage (0.79%) was below the minimum threshold (20%) and max hourly average memory usage (16.04%) was below the minimum threshold (20%) for 99.5% of the time in the lookback period.,_internal,admin,cluster3
vm252,-,-,_internal,admin,cluster3
vm253,Overprovisioned,Overprovisioned: Max hourly average memory usage (22.82%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster3
vm254,Overprovisioned,Overprovisioned: Max hourly average memory usage (22.34%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster3
vm255,-,-,_internal,admin,cluster3
vm256,-,-,_internal,admin,cluster3
vm257,-,-,_internal,admin,cluster3
vm258,-,-,_internal,admin,cluster3
vm259,-,-,_internal,admin,cluster3
vm260,-,-,_internal,admin,cluster3
vm261,Overprovisioned,Overprovisioned: Max hourly average CPU usage (0.87%) was below the minimum threshold (20%) and max hourly average memory usage (28.49%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster3
vm262,-,-,_internal,admin,cluster3
vm263,Overprovisioned,Overprovisioned: Max hourly average CPU usage (1.3%) was below the minimum threshold (20%) and max hourly average memory usage (30.39%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster3
vm264,-,-,_internal,admin,cluster3
vm265,Overprovisioned,Overprovisioned: Max hourly average CPU usage (1.5%) was below the minimum threshold (20%) and max hourly average memory usage (27.4%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster3
vm266,-,-,_internal,admin,cluster3
vm267,Overprovisioned,Overprovisioned: Max hourly average CPU usage (0.92%) was below the minimum threshold (20%) and max hourly average memory usage (31.06%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster3
vm268,-,-,_internal,admin,cluster3
vm269,Overprovisioned,Overprovisioned: Max hourly average CPU usage (4.33%) was below the minimum threshold (20%) and max hourly average memory usage (32.28%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster3
vm270,-,-,_internal,admin,cluster3
vm271,Overprovisioned,Overprovisioned: Max hourly average CPU usage (1.1%) was below the minimum threshold (20%) and max hourly average memory usage (32.29%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster3
vm272,-,-,_internal,admin,cluster3
vm273,-,-,_internal,admin,cluster3
vm274,-,-,_internal,admin,cluster3
vm275,-,-,_internal,admin,cluster3
vm276,-,-,_internal,admin,cluster3
vm277,-,-,_internal,admin,cluster3
vm278,-,-,_internal,admin,cluster3
vm279,-,-,_internal,admin,cluster3
vm280,-,-,_internal,admin,cluster3
vm281,Overprovisioned,Overprovisioned: Max hourly average CPU usage (0.93%) was below the minimum threshold (20%) and max hourly average memory usage (17.1%) was below the minimum threshold (20%) for 99.5% of the time in the lookback period.,_internal,admin,cluster3
vm282,Overprovisioned,Overprovisioned: Max hourly average CPU usage (1.14%) was below the minimum threshold (20%) and max hourly average memory usage (25.97%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster3
vm283,-,-,_internal,admin,cluster3
vm284,-,-,_internal,admin,cluster3
vm285,-,-,_internal,admin,cluster2
vm286,-,-,_internal,admin,cluster2
vm287,Overprovisioned,Overprovisioned: Max hourly average CPU usage (6.19%) was below the minimum threshold (20%) and max hourly average memory usage (24.69%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster2
vm288,-,-,_internal,admin,cluster2
vm289,Overprovisioned,Overprovisioned: Max hourly average CPU usage (4.71%) was below the minimum threshold (20%) and max hourly average memory usage (19.41%) was below the minimum threshold (20%) for 99.5% of the time in the lookback period.,_internal,admin,cluster2
vm290,Overprovisioned,Overprovisioned: Max hourly average CPU usage (5.73%) was below the minimum threshold (20%) and max hourly average memory usage (24.18%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster2
vm291,Overprovisioned,Overprovisioned: Max hourly average CPU usage (6.77%) was below the minimum threshold (20%) and max hourly average memory usage (24.75%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster2
vm292,-,-,_internal,admin,cluster2
vm293,-,-,_internal,admin,cluster2
vm294,-,-,_internal,admin,cluster2
vm295,Overprovisioned,Overprovisioned: Max hourly average CPU usage (4.62%) was below the minimum threshold (20%) and max hourly average memory usage (17.41%) was below the minimum threshold (20%) for 99.5% of the time in the lookback period.,_internal,admin,cluster2
vm296,Overprovisioned,Overprovisioned: Max hourly average CPU usage (6.13%) was below the minimum threshold (20%) and max hourly average memory usage (20.08%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster2
vm297,Overprovisioned,Overprovisioned: Max hourly average CPU usage (5.58%) was below the minimum threshold (20%) and max hourly average memory usage (24.56%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster2
vm298,-,-,_internal,admin,cluster2
vm299,-,-,_internal,admin,cluster2
vm300,-,-,_internal,admin,cluster3
vm301,-,-,_internal,admin,cluster3
vm302,Overprovisioned,Overprovisioned: Max hourly average CPU usage (8.07%) was below the minimum threshold (20%) and max hourly average memory usage (25.11%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster3
vm303,-,-,_internal,admin,cluster3
vm304,-,-,_internal,admin,cluster3
vm305,-,-,_internal,admin,cluster3
vm306,-,-,_internal,admin,cluster3
vm307,Overprovisioned,Overprovisioned: Max hourly average CPU usage (7.71%) was below the minimum threshold (20%) and max hourly average memory usage (21.02%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster3
vm308,Overprovisioned,Overprovisioned: Max hourly average CPU usage (0.84%) was below the minimum threshold (20%) and max hourly average memory usage (14.86%) was below the minimum threshold (20%) for 99.5% of the time in the lookback period.,_internal,admin,cluster3
vm309,Overprovisioned,Overprovisioned: Max hourly average CPU usage (0.82%) was below the minimum threshold (20%) and max hourly average memory usage (14.74%) was below the minimum threshold (20%) for 99.5% of the time in the lookback period.,_internal,admin,cluster3
vm310,-,-,_internal,admin,cluster3
vm311,Overprovisioned,Overprovisioned: Max hourly average CPU usage (0.87%) was below the minimum threshold (20%) and max hourly average memory usage (14.84%) was below the minimum threshold (20%) for 99.5% of the time in the lookback period.,_internal,admin,cluster3
vm312,-,-,_internal,admin,cluster3
vm313,-,-,_internal,admin,cluster3
vm314,Overprovisioned,Overprovisioned: Max hourly average CPU usage (0.87%) was below the minimum threshold (20%) and max hourly average memory usage (17.32%) was below the minimum threshold (20%) for 99.5% of the time in the lookback period.,_internal,admin,cluster3
vm315,-,-,_internal,admin,cluster2
vm316,-,-,_internal,admin,cluster2
vm317,-,-,_internal,admin,cluster3
vm318,Overprovisioned,Overprovisioned: Max hourly average CPU usage (0.75%) was below the minimum threshold (20%) and max hourly average memory usage (24.62%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster3
vm319,Overprovisioned,Overprovisioned: Max hourly average CPU usage (19.39%) was below the minimum threshold (20%) and max hourly average memory usage (25.91%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster2
vm320,Overprovisioned,Overprovisioned: Max hourly average CPU usage (0.56%) was below the minimum threshold (20%) and max hourly average memory usage (10.93%) was below the minimum threshold (20%) for 99.5% of the time in the lookback period.,_internal,admin,cluster2
vm321,-,-,_internal,admin,cluster3
vm322,-,-,_internal,admin,cluster3
vm323,-,-,_internal,admin,cluster3
vm324,-,-,_internal,admin,cluster3
vm325,Overprovisioned,Overprovisioned: Max hourly average CPU usage (1.52%) was below the minimum threshold (20%) and max hourly average memory usage (32.27%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster3
vm326,Overprovisioned,Overprovisioned: Max hourly average CPU usage (2.14%) was below the minimum threshold (20%) and max hourly average memory usage (42.86%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster3
vm327,-,-,_internal,admin,cluster2
vm328,-,-,,,cluster1
vm329,-,-,,,cluster1
vm330,-,-,,,cluster1
vm331,NA,,,,cluster1
vm332,NA,,,,cluster1
vm333,-,-,,,cluster1
vm334,NA,,,,cluster1
vm335,-,-,,,cluster1
vm336,-,-,,,cluster1
vm337,NA,,,,cluster1
vm338,-,-,,,cluster1
vm339,-,-,,,cluster1
vm340,-,-,,,cluster1
vm341,-,-,,,cluster1
vm342,NA,,,,cluster3
vm343,-,-,,,cluster3
vm344,-,-,,,cluster3
vm345,NA,,,,cluster3
vm346,-,-,,,cluster3
vm347,-,-,,,cluster3
vm348,-,-,,,cluster2
vm349,-,-,,,cluster2
vm350,NA,,,,cluster2
vm351,NA,,,,cluster2
vm352,-,-,,,cluster2
vm353,-,-,,,cluster2
vm354,-,-,,,cluster2
vm355,Inactive,Inactive: The VM was powered off for the last 92 days.,_internal,admin,cluster3
vm356,Inactive,Inactive: The VM was powered off for the last 90 days.,_internal,admin,cluster2
vm357,-,-,_internal,admin,cluster2
vm358,-,-,_internal,admin,cluster1